# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Quranic Arabic Corpus (morphology, version 0.4)
#  Copyright (C) 2011 Kais Dukes
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(1:5:3:2)	<iy~aAka	PRON	STEM|POS:PRON|LEM:<iy~aA|2MS
(1:5:4:1)	nasotaEiynu	V	STEM|POS:V|IMPF|(X)|LEM:{sotaEiynu|ROOT:Ewn|1P
(1:6:1:1)	{hodi	V	STEM|POS:V|IMPV|LEM:hadaY|ROOT:hdy|2MS
(1:6:1:2)	naA	PRON	SUFFIX|PRON:1P
(1:6:2:1)	{l	DET	PREFIX|Al+
(1:6:2:2)	S~ira`Ta	N	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC
(1:6:3:1)	{lo	DET	PREFIX|Al+
(1:6:3:2)	musotaqiyma	ADJ	STEM|POS:ADJ|ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|ACC
(1:7:1:1)	Sira`Ta	N	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|ACC
(1:7:2:1)	{l~a*iyna	REL	STEM|POS:REL|LEM:{l~a*iY|MP
(1:7:3:1)	>anoEamo	V	STEM|POS:V|PERF|(IV)|LEM:>anoEama|ROOT:nEm|2MS
(1:7:3:2)	ta	PRON	SUFFIX|PRON:2MS
(1:7:4:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(1:7:4:2)	himo	PRON	SUFFIX|PRON:3MP
(1:7:5:1)	gayori	N	STEM|POS:N|LEM:gayor|ROOT:gyr|M|GEN
(1:7:6:1)	{lo	DET	PREFIX|Al+
(1:7:6:2)	magoDuwbi	N	STEM|POS:N|PASS|PCPL|LEM:magoDuwb|ROOT:gDb|M|GEN
(1:7:7:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(1:7:7:2)	himo	PRON	SUFFIX|PRON:3MP
(1:7:8:1)	wa	CONJ	PREFIX|w:CONJ+
(1:7:8:2)	laA	NEG	STEM|POS:NEG|LEM:laA
(1:7:9:1)	{l	DET	PREFIX|Al+
(1:7:9:2)	D~aA^l~iyna	N	STEM|POS:N|ACT|PCPL|LEM:DaA^l~|ROOT:Dll|MP|GEN
(112:1:1:1)	qulo	V	STEM|POS:V|IMPV|LEM:qaAla|ROOT:qwl|2MS
(112:1:2:1)	huwa	PRON	STEM|POS:PRON|3MS
(112:1:3:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(112:1:4:1)	>aHadN	N	STEM|POS:N|LEM:>aHad|ROOT:AHd|M|INDEF|NOM
(112:2:1:1)	{ll~ahu	PN	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|NOM
(112:2:2:1)	{l	DET	PREFIX|Al+
(112:2:2:2)	S~amadu	N	STEM|POS:N|LEM:S~amad|ROOT:Smd|MS|NOM
(112:3:1:1)	lamo	NEG	STEM|POS:NEG|LEM:lam
(112:3:2:1)	yalido	V	STEM|POS:V|IMPF|LEM:walada|ROOT:wld|3MS|MOOD:JUS
(112:3:3:1)	wa	CONJ	PREFIX|w:CONJ+
(112:3:3:2)	lamo	NEG	STEM|POS:NEG|LEM:lam
(112:3:4:1)	yuwlado	V	STEM|POS:V|IMPF|PASS|LEM:walada|ROOT:wld|3MS|MOOD:JUS
(112:4:1:1)	wa	CONJ	PREFIX|w:CONJ+
(112:4:1:2)	lamo	NEG	STEM|POS:NEG|LEM:lam
(112:4:2:1)	yakun	V	STEM|POS:V|IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS|MOOD:JUS
(112:4:3:1)	l~a	P	PREFIX|l:P+
(112:4:3:2)	hu,	PRON	STEM|POS:PRON|3MS
(112:4:4:1)	kufuwFA	N	STEM|POS:N|LEM:kufuw|ROOT:kfA|M|INDEF|ACC
(112:4:5:1)	>aHadN[	N	STEM|POS:N|LEM:>aHad|ROOT:AHd|M|INDEF|NOM
(113:1:1:1)	qulo	V	STEM|POS:V|IMPV|LEM:qaAla|ROOT:qwl|2MS
(113:1:2:1)	>aEuw*u	V	STEM|POS:V|IMPF|LEM:Eu*o|ROOT:Ew*|1S
(113:1:3:1)	bi	P	PREFIX|bi+
(113:1:3:2)	rab~i	N	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN
(113:1:4:1)	{lo	DET	PREFIX|Al+
(113:1:4:2)	falaqi	N	STEM|POS:N|LEM:falaq|ROOT:flq|M|GEN
(113:2:1:1)	min	P	STEM|POS:P|LEM:min
(113:2:2:1)	$ar~i	N	STEM|POS:N|LEM:$ar~|ROOT:$rr|MS|GEN
(113:2:3:1)	maA	REL	STEM|POS:REL|LEM:maA
(113:2:4:1)	xalaqa	V	STEM|POS:V|PERF|LEM:xalaqa|ROOT:xlq|3MS
(113:3:1:1)	wa	CONJ	PREFIX|w:CONJ+
(113:3:1:2)	min	P	STEM|POS:P|LEM:min
(113:3:2:1)	$ar~i	N	STEM|POS:N|LEM:$ar~|ROOT:$rr|MS|GEN
(113:3:3:1)	gaAsiqK	N	STEM|POS:N|ACT|PCPL|LEM:gaAsiq|ROOT:gsq|M|INDEF|GEN
(113:3:4:1)	<i*aA	T	STEM|POS:T|LEM:<i*aA
(113:3:5:1)	waqaba	V	STEM|POS:V|PERF|LEM:waqaba|ROOT:wqb|3MS
(113:4:1:1)	wa	CONJ	PREFIX|w:CONJ+
(113:4:1:2)	min	P	STEM|POS:P|LEM:min
(113:4:2:1)	$ar~i	N	STEM|POS:N|LEM:$ar~|ROOT:$rr|MS|GEN
(113:4:3:1)	{l	DET	PREFIX|Al+
(113:4:3:2)	n~af~a`va`ti	N	STEM|POS:N|LEM:n~af~a`va`t|ROOT:nfv|FP|GEN
(113:4:4:1)	fiY	P	STEM|POS:P|LEM:fiY
(113:4:5:1)	{lo	DET	PREFIX|Al+
(113:4:5:2)	Euqadi	N	STEM|POS:N|LEM:Euqodap|ROOT:Eqd|MP|GEN
(113:5:1:1)	wa	CONJ	PREFIX|w:CONJ+
(113:5:1:2)	min	P	STEM|POS:P|LEM:min
(113:5:2:1)	$ar~i	N	STEM|POS:N|LEM:$ar~|ROOT:$rr|MS|GEN
(113:5:3:1)	HaAsidK	N	STEM|POS:N|ACT|PCPL|LEM:HaAsid|ROOT:Hsd|M|INDEF|GEN
(113:5:4:1)	<i*aA	T	STEM|POS:T|LEM:<i*aA
(113:5:5:1)	Hasada	V	STEM|POS:V|PERF|LEM:Hasada|ROOT:Hsd|3MS
(114:1:1:1)	qulo	V	STEM|POS:V|IMPV|LEM:qaAla|ROOT:qwl|2MS
(114:1:2:1)	>aEuw*u	V	STEM|POS:V|IMPF|LEM:Eu*o|ROOT:Ew*|1S
(114:1:3:1)	bi	P	PREFIX|bi+
(114:1:3:2)	rab~i	N	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN
(114:1:4:1)	{l	DET	PREFIX|Al+
(114:1:4:2)	n~aAsi	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|GEN
(114:2:1:1)	maliki	N	STEM|POS:N|LEM:malik|ROOT:mlk|MS|GEN
(114:2:2:1)	{l	DET	PREFIX|Al+
(114:2:2:2)	n~aAsi	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|GEN
(114:3:1:1)	<ila`hi	N	STEM|POS:N|LEM:<ila`h|ROOT:Alh|MS|GEN
(114:3:2:1)	{l	DET	PREFIX|Al+
(114:3:2:2)	n~aAsi	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|GEN
(114:4:1:1)	min	P	STEM|POS:P|LEM:min
(114:4:2:1)	$ar~i	N	STEM|POS:N|LEM:$ar~|ROOT:$rr|MS|GEN
(114:4:3:1)	{lo	DET	PREFIX|Al+
(114:4:3:2)	wasowaAsi	N	STEM|POS:N|LEM:wasowaAs|ROOT:wsws|MS|GEN
(114:4:4:1)	{lo	DET	PREFIX|Al+
(114:4:4:2)	xan~aAsi	ADJ	STEM|POS:ADJ|LEM:xan~aAs|ROOT:xns|MS|GEN
(114:5:1:1)	{l~a*iY	REL	STEM|POS:REL|LEM:{l~a*iY|MS
(114:5:2:1)	yuwasowisu	V	STEM|POS:V|IMPF|LEM:wasowasa|ROOT:wsws|3MS
(114:5:3:1)	fiY	P	STEM|POS:P|LEM:fiY
(114:5:4:1)	Suduwri	N	STEM|POS:N|LEM:Sador|ROOT:Sdr|MP|GEN
(114:5:5:1)	{l	DET	PREFIX|Al+
(114:5:5:2)	n~aAsi	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|GEN
(114:6:1:1)	mina	P	STEM|POS:P|LEM:min
(114:6:2:1)	{lo	DET	PREFIX|Al+
(114:6:2:2)	jin~api	N	STEM|POS:N|LEM:jin~ap|ROOT:jnn|F|GEN
(114:6:3:1)	wa	CONJ	PREFIX|w:CONJ+
(114:6:3:2)	{l	DET	PREFIX|Al+
(114:6:3:3)	n~aAsi	N	STEM|POS:N|LEM:n~aAs|ROOT:nws|MP|GEN
